#Cache size, OPT, LRU, FIFO, RAND, CLOCK
0.05, 8.15, 0, 0, 0.02, 0
0.1, 18.3, 0, 0, 0.63, 0
0.15, 28.45, 0, 0, 3.78, 0
0.2, 38.6, 0, 0, 10.33, 0
0.25, 48.75, 0, 0, 19.74, 0
0.3, 58.9, 0, 0, 32.3, 0
0.35, 69.05, 0, 0, 46.17, 0
0.4, 79.2, 0, 0, 62.39, 0
0.45, 89.35, 0, 0, 80.43, 0
0.5, 99.5, 99.5, 99.5, 99.5, 99.5
0.55, 99.5, 99.5, 99.5, 99.5, 99.5
0.6, 99.5, 99.5, 99.5, 99.5, 99.5
0.65, 99.5, 99.5, 99.5, 99.5, 99.5
0.7, 99.5, 99.5, 99.5, 99.5, 99.5
0.75, 99.5, 99.5, 99.5, 99.5, 99.5
0.8, 99.5, 99.5, 99.5, 99.5, 99.5
0.85, 99.5, 99.5, 99.5, 99.5, 99.5
0.9, 99.5, 99.5, 99.5, 99.5, 99.5
0.95, 99.5, 99.5, 99.5, 99.5, 99.5
1, 99.5, 99.5, 99.5, 99.5, 99.5
